Speaker;Party;Country;Quote;date;Subject;Author;Questions and Answers
Ramon Jauregui Atondo;PES;ES;writing supported ecuador accession european union trade agreement colombia peru union continue tariff preference far granted raising average income country lost export people country january welcome fact agreement includes ambitious commitment union ecuador sustainable development human right labour environment used promote bilateral trade sense ecuador committed good reform continue agreement worked hard ecuador ensure export capacity banana sector damage european region like canary island depend heavily culture agreement undoubtedly help strengthen improve relationship europe latin america defend spanish socialist close meeting commitment support ecuador reform instrument available union;14/12/2016;;;
Petr Jezek;ALDE;CZ;writing supported recommendation ecuador accession agreement european union colombia peru committed deepening eu relation country concerned ecuador complex regional international dimension believe closer cooperation build sustainable economic social development;14/12/2016;;;
Marc Joulaud;EPP;FR;writing voted favour colleague helmut scholz report trade agreement incorporating ecuador eucolombia peru trade agreement agreement lay appropriate condition benefit signatory provides rise tariff barrier open european business including rationalisation intellectual property standard phytosanitary rule competition rule pleased agreement reached implementation safeguard clause stability mechanism banana endanger production french antilleans source job report adopted large majority welcome;14/12/2016;;;
Barbara Kappel;ENF;AT;writing voted favour present report trade agreement eu colombia peru signed 2012 signed country august august commission implementing regulation eu 13082013 11 march 2013 laying detailed rule application regulation european parliament council oj l 347 20122013 p 1 ecuador seeking accede agreement important continued price decline oil account 60 country export economic state revenue used addition ecuador lose aps standard december 2016 severely restricted possibility trade eu;14/12/2016;;;
Afzal Khan;PES;UK;president voted favour conclusion protocol proposal implement necessary modification trade agreement account accession ecuador;14/12/2016;;;
Stelios Kouloglou;GUE/NGL;EL;voted trade agreement spirit consistent opposition unfair trade deal going contribute creation new job overall prosperity ecuador;14/12/2016;;;
Bela Kovacs;NI;HU;writing oil coal natural product available european business come country central america importance economic relation underestimated extension trade agreement colombia peru clearly support expansion ecuador balanced impact europe available undoubtedly positive remote region;14/12/2016;;;
Ilhan Kyuchyuk;ALDE;BG;supported accession ecuador eucolombia peru trade agreement fact accession ecuador agreement crucial eu ecuador allow party develop closer bilateral relation impetus economic political integration andean region important note agreement contains trade sustainable development charter includes ambitious provision labour environmental protection aim ensure predictable stable environmental condition investor side accession ecuador eucolombia peru trade agreement provide opportunity enhance eu political dialogue country regard respect democratic principle fundamental right longterm perspective enhanced political dialogue used eu urge ecuador tackle sensitive issue freedom expression labour right protection indigenous people;14/12/2016;;;
Giovanni La Via;EPP;IT;writing report trade agreement eu colombia peru express european parliament favourable opinion ecuador entry force step important step economy ecuador product placed european market product colombia peru aim gradually open market good service public contract investment particular abolition tariff agreement provides sustainable trade development including ambitious labour environment protection facility enable party develop closer bilateral relation contributing political economic integration region offer opportunity strengthen political dialogue eu ecuador light economic political social benefit resulting ecuador accession free trade agreement vote favour report;14/12/2016;;;
Marine Le Pen;ENF;FR;writing voted report eucolombia peru trade agreement ecuador accession report seek say yes ecuador accession trade agreement eu colombia peru 2012 custom duty removed liberalised service market protected igps open public market environmental labour standard imposed ecuadorian fishing longer custom duty ecuador according eu benefit new considerable access european union banana market 90 cent custom duty agricultural sector eliminated 17 year detrimental producer baltic sea region banana important source income;14/12/2016;;;
Philippe Loiseau;ENF;FR;writing report call ecuador accession eucolombiaperu trade agreement 2012 agreement likely severely penalise production banana primary overseas region fact thanks accession ecuador benefit new considerable access european union market fruit like protect fruit production foreign competition voted accession;14/12/2016;;;
